"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Jul-2023"
"NIFTY 50","24,444.95","24,504.25","24,307.25","24,479.05","24,413.50","-65.55","-0.27","36,66,16,574","39,537.93","24,854.80","18,837.85","4.16","24.43"
"HDFCLIFE","639.60","675.00","639.30","643.95","672.00","28.05","4.36","1,23,77,638","823.41","710.60","511.40","10.84","-1.41"
"TECHM","1,493.40","1,540.00","1,473.40","1,493.40","1,539.95","46.55","3.12","25,61,617","390.37","1,545.70","1,082.30","6.69","28.54"
"BPCL","306.40","315.85","304.85","306.00","314.90","8.90","2.91","1,69,34,157","528.23","343.98","165.73","-0.52","-21.45"
"NTPC","384.10","395.00","381.70","382.45","392.65","10.20","2.67","3,68,68,466","1,436.06","395.00","192.95","6.30","95.23"
"TATAMOTORS","997.80","1,034.25","995.15","1,001.80","1,026.45","24.65","2.46","1,14,69,098","1,174.75","1,065.60","593.30","4.16","59.21"
"SBILIFE","1,580.00","1,650.00","1,579.65","1,594.85","1,632.65","37.80","2.37","20,99,093","340.95","1,664.95","1,251.65","8.93","21.08"
"ONGC","313.05","325.75","312.10","314.15","321.00","6.85","2.18","2,82,59,305","906.16","333.30","168.90","16.50","83.71"
"COALINDIA","486.70","499.40","485.10","487.00","494.00","7.00","1.44","68,23,248","337.73","527.40","226.85","1.42","110.87"
"SUNPHARMA","1,602.00","1,624.95","1,592.00","1,601.60","1,623.00","21.40","1.34","29,23,358","472.28","1,638.85","1,068.35","9.16","45.55"
"POWERGRID","330.90","338.80","330.30","334.25","337.05","2.80","0.84","1,25,73,882","422.50","348.75","179.82","2.55","35.08"
"ASIANPAINT","2,901.00","2,927.00","2,886.20","2,897.10","2,915.00","17.90","0.62","14,76,148","429.26","3,568.00","2,670.10","0.22","-18.25"
"RELIANCE","2,970.00","3,019.00","2,952.80","2,975.80","2,988.00","12.20","0.41","59,56,681","1,779.66","3,217.60","2,220.30","2.32","19.63"
"DIVISLAB","4,506.20","4,579.30","4,501.45","4,527.00","4,544.80","17.80","0.39","3,92,515","178.52","4,670.00","3,295.30","0.11","22.82"
"CIPLA","1,495.35","1,511.30","1,485.00","1,497.90","1,503.50","5.60","0.37","22,66,300","340.47","1,582.00","1,038.00","-2.83","42.80"
"ITC","496.00","510.65","490.65","492.20","494.00","1.80","0.37","4,20,73,323","2,105.05","510.65","399.35","17.30","4.42"
"APOLLOHOSP","6,400.00","6,443.95","6,350.05","6,403.60","6,420.00","16.40","0.26","3,09,594","198.11","6,874.45","4,726.00","3.79","23.60"
"TATASTEEL","160.02","162.02","159.19","160.02","160.20","0.18","0.11","2,80,86,566","451.72","184.60","114.35","-11.07","38.55"
"TITAN","3,470.00","3,552.50","3,462.15","3,466.85","3,469.50","2.65","0.08","38,62,140","1,354.12","3,886.95","2,882.45","1.97","16.37"
"TCS","4,287.50","4,339.10","4,268.10","4,302.35","4,305.00","2.65","0.06","18,09,793","779.93","4,361.70","3,311.00","12.90","26.74"
"EICHERMOT","4,918.00","4,942.30","4,879.00","4,919.55","4,922.00","2.45","0.05","4,00,075","196.23","4,976.00","3,274.90","1.53","48.72"
"WIPRO","502.50","506.35","499.85","500.55","500.50","-0.05","-0.01","61,20,138","307.62","579.90","375.05","2.04","23.88"
"ICICIBANK","1,225.00","1,233.65","1,202.05","1,226.75","1,226.60","-0.15","-0.01","2,01,22,521","2,449.76","1,257.80","899.00","5.88","23.66"
"INFY","1,837.50","1,842.35","1,819.60","1,836.90","1,835.70","-1.20","-0.07","60,02,845","1,098.90","1,844.00","1,324.25","19.85","37.43"
"GRASIM","2,830.00","2,830.00","2,775.00","2,823.05","2,821.00","-2.05","-0.07","28,80,833","805.53","2,852.95","1,758.05","14.47","55.71"
"M&M","2,823.00","2,830.40","2,763.65","2,821.35","2,815.70","-5.65","-0.20","22,76,082","635.86","3,013.50","1,415.75","-0.65","82.39"
"HINDALCO","653.00","656.65","645.00","653.50","651.80","-1.70","-0.26","26,10,134","170.02","715.25","431.50","-4.53","50.94"
"LTIM","5,694.00","5,715.00","5,651.80","5,688.60","5,672.00","-16.60","-0.29","1,44,400","82.00","6,442.00","4,513.55","10.99","16.59"
"SHRIRAMFIN","2,739.00","2,760.00","2,665.30","2,739.20","2,728.00","-11.20","-0.41","10,26,115","279.15","3,059.45","1,760.10","-2.92","52.49"
"LT","3,549.00","3,557.95","3,501.00","3,538.05","3,522.00","-16.05","-0.45","31,84,060","1,121.68","3,919.90","2,553.00","0.09","35.80"
"ULTRACEMCO","11,540.00","11,560.75","11,355.65","11,545.80","11,484.65","-61.15","-0.53","2,68,139","306.32","12,078.00","7,987.65","8.29","40.46"
"HDFCBANK","1,608.15","1,621.00","1,588.05","1,618.40","1,608.35","-10.05","-0.62","3,08,64,103","4,950.97","1,794.00","1,363.55","-2.84","-3.57"
"BHARTIARTL","1,466.00","1,475.60","1,436.55","1,465.70","1,454.90","-10.80","-0.74","45,29,339","658.46","1,536.25","847.05","3.51","65.03"
"HCLTECH","1,594.00","1,598.00","1,576.85","1,598.35","1,586.00","-12.35","-0.77","24,84,299","394.09","1,697.35","1,096.00","10.39","43.62"
"DRREDDY","6,938.90","6,938.90","6,793.25","6,865.00","6,811.00","-54.00","-0.79","6,03,877","413.24","6,938.90","5,205.55","14.20","27.33"
"ADANIENT","2,995.35","3,007.50","2,959.30","2,995.35","2,968.80","-26.55","-0.89","6,93,702","206.79","3,743.90","2,142.00","-6.08","23.87"
"INDUSINDBK","1,409.80","1,412.50","1,386.40","1,413.20","1,400.00","-13.20","-0.93","55,53,500","776.30","1,694.50","1,354.05","-7.46","-1.57"
"MARUTI","12,634.00","12,663.20","12,458.20","12,629.05","12,495.80","-133.25","-1.06","2,85,860","358.19","13,300.00","9,254.15","3.50","30.27"
"SBIN","864.20","868.00","847.20","863.90","853.95","-9.95","-1.15","1,96,24,845","1,677.63","912.00","543.20","3.30","39.87"
"JSWSTEEL","895.00","895.00","880.00","893.95","883.50","-10.45","-1.17","15,19,772","134.48","959.40","723.00","-4.58","15.25"
"NESTLEIND","2,581.00","2,581.00","2,518.70","2,581.55","2,551.00","-30.55","-1.18","13,11,044","332.79","2,769.30","2,145.00","3.33","-88.69"
"BAJAJ-AUTO","9,360.00","9,372.70","9,250.00","9,382.50","9,265.00","-117.50","-1.25","2,83,213","263.27","10,038.80","4,541.00","-2.29","92.16"
"ADANIPORTS","1,508.00","1,513.55","1,480.00","1,507.35","1,487.50","-19.85","-1.32","22,01,442","328.58","1,621.40","728.45","1.47","105.00"
"HEROMOTOCO","5,513.00","5,513.00","5,405.00","5,513.55","5,440.00","-73.55","-1.33","7,23,617","393.95","5,894.55","2,890.00","1.13","75.92"
"KOTAKBANK","1,767.95","1,780.90","1,729.05","1,768.90","1,743.55","-25.35","-1.43","74,87,207","1,314.01","1,950.00","1,543.85","-0.38","-6.77"
"HINDUNILVR","2,748.00","2,757.45","2,675.10","2,766.35","2,720.95","-45.40","-1.64","36,11,927","980.78","2,811.30","2,172.05","13.31","7.21"
"BAJFINANCE","6,630.00","6,654.70","6,541.05","6,727.10","6,614.90","-112.20","-1.67","31,00,626","2,041.04","8,192.00","6,187.80","-5.71","-11.27"
"AXISBANK","1,262.90","1,267.35","1,226.65","1,263.25","1,240.20","-23.05","-1.82","1,03,44,860","1,283.26","1,339.65","927.15","2.08","30.03"
"BRITANNIA","5,949.40","5,974.40","5,815.00","5,944.75","5,833.00","-111.75","-1.88","2,33,649","136.70","6,005.00","4,347.70","11.53","19.64"
"TATACONSUM","1,257.00","1,257.70","1,217.40","1,256.90","1,233.00","-23.90","-1.90","33,25,998","408.96","1,269.00","828.25","15.85","45.63"
"BAJAJFINSV","1,600.60","1,611.90","1,562.00","1,618.85","1,585.00","-33.85","-2.09","36,75,430","582.08","1,741.00","1,419.05","2.53","-2.33"
